,stat,date,event_count,year,month,day,TMAX,TMIN,PRCP,SNOW,SNWD,WT05,WT08,WT16,WT01,WT03,WT04,WSFG,WT18,PGTM,WDFG,WT06,WT07,DAEV,EVAP,MDEV,WDMV,FRGT,THIC,DAWM,MDWM,MNPN,MXPN,ACMH,ACSH,PSUN,TSUN,WDFI,WSFI,WT02,WDFM,WSFM,WT09,WDF1,WSF1,WESD,AWND,FMTM,WT14,WT10,WT15,WT17,WDF2,WDF5,WSF2,WSF5,WT19,WT13,WT11,TAVG,WT21,WT22,WV03,SN12,SX12,SN32,SX32,PREV_PRECIPFLAG,PREV_PRECIPAMT,PRECIPFLAG,PRECIPAMT,NEXTPRECIPFLAG,NEXTPRECIPAMT
0,count,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0,31054.0
1,cardinality,31054.0,23.0,86.0,12.0,31.0,81.0,91.0,375.0,21.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,58.0,2.0,1326.0,17.0,2.0,2.0,5.0,106.0,28.0,244.0,2.0,3.0,5.0,29.0,54.0,76.0,11.0,11.0,101.0,830.0,9.0,54.0,2.0,9.0,27.0,2.0,37.0,39.0,5.0,98.0,1238.0,2.0,2.0,2.0,2.0,37.0,37.0,43.0,60.0,2.0,2.0,2.0,231.0,2.0,2.0,2.0,49.0,52.0,47.0,54.0,3.0,393.0,2.0,392.0,3.0,393.0
2,mean,19792400.39849939,14.280028337734269,1979.1732466026922,6.522058349971018,15.726637470213177,244.7074128936691,129.74077413537708,35.90561602370065,0.036484832871771754,0.05751271977845044,0.012365556772074451,0.26486120950602177,0.3381528949571714,0.4261286790751594,0.14088362207767116,0.0020931280994396857,43.107361370515875,0.0033168029883428865,784.8084948798867,86.48853609840923,0.0018033103625941908,0.0026083596316094546,0.0031879951053004445,21.474496039157597,0.06955625684291879,47.140368390545504,0.015521349906614286,0.008984349842210344,0.0027049655438912863,0.22844078057577125,58.199652218715784,105.59535003542217,19.84060024473498,21.59431957235783,14.389998067881754,181.5659818380885,23.883879693437237,12.46676756617505,0.044857345269530495,0.9984221034327301,0.4611966252334643,0.0014490886842274747,43.78018934758807,16.30231210150061,0.14722741031751144,15.75426676112578,458.7262510465641,0.013911251368583757,9.660591228183165e-05,9.660591228183165e-05,0.00041862561988793715,55.3799832549752,54.53371546338636,24.985444709216203,31.593578927030336,0.0004508275906485477,0.1046886069427449,0.0008050492690152637,19.3154827075417,0.012462162684356282,3.220197076061055e-05,0.0011914729181425902,18.031590133316158,20.6793649771366,19.49584594577188,22.602080247311136,0.4254339355295785,35.91124851061089,0.42542023571842597,35.91009209763637,0.4254339355295785,35.91124851061089
3,median,19790903.5,15.0,1979.0,7.0,16.0,256.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,n_at_median,,1270.0,365.0,2635.0,1020.0,736.0,563.0,21490.0,31018.0,31028.0,30670.0,22829.0,20553.0,17821.0,26679.0,30989.0,17804.0,30951.0,43.0,17813.0,30998.0,30973.0,31018.0,17683.0,31018.0,16721.0,31052.0,31052.0,31024.0,31024.0,18821.0,18538.0,20770.0,20931.0,24537.0,19612.0,27344.0,27344.0,29661.0,30902.0,30902.0,31009.0,23689.0,23689.0,31050.0,17112.0,20940.0,30622.0,31051.0,31051.0,31041.0,21405.0,21443.0,21405.0,21442.0,31040.0,27803.0,31029.0,27956.0,30667.0,31053.0,31017.0,28175.0,28174.0,27933.0,27931.0,17842.0,21488.0,17843.0,21489.0,17842.0,21488.0
5,mode,19370301.0,5.0,1940.0,3.0,1.0,311.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,n_at_mode,1.0,4397.0,366.0,2643.0,1021.0,1142.0,1275.0,21490.0,31018.0,31028.0,30670.0,22829.0,20553.0,17821.0,26679.0,30989.0,17804.0,30951.0,12815.0,17813.0,30998.0,30973.0,31018.0,17683.0,31018.0,16721.0,31052.0,31052.0,31024.0,31024.0,18821.0,18538.0,20770.0,20931.0,24537.0,19612.0,27344.0,27344.0,29661.0,30902.0,30902.0,31009.0,23689.0,23689.0,31050.0,17112.0,20940.0,30622.0,31051.0,31051.0,31041.0,21405.0,21443.0,21405.0,21442.0,31040.0,27803.0,31029.0,27956.0,30667.0,31053.0,31017.0,28175.0,28174.0,27933.0,27931.0,17842.0,21488.0,17843.0,21489.0,17842.0,21488.0
7,stddev,245447.8441470606,5.813138253624169,24.54511016562733,3.4487679334218537,8.80097720728028,73.85014509022591,82.7863685488063,109.57626326644854,1.721127367551183,2.4464988701843975,0.11051263756623779,0.44126638150282166,0.47308849256770014,0.49452088223435614,0.3479070634706137,0.045703546669072746,54.10300150111075,0.05749702829747489,742.4522789624501,119.48700142731361,0.04242777865533479,0.05100627284533398,0.09970238591952114,34.400677389619574,2.4358299592576254,63.650799262424215,1.9340436570728001,1.4483284873995057,0.10733759688102418,8.982450931052906,84.96700391693787,137.68336063350299,32.59131820277727,35.40181376428246,30.43808758091868,268.37641713709235,73.20735497127856,35.54618352205414,0.20699406655275038,15.745280386973164,6.893839969713078,0.038039918817015364,91.68800340217399,30.68205438801019,24.65735097716745,19.466260504465144,707.2538990585749,0.11712459266123276,0.009828514144057875,0.009828514144057877,0.020456388924707677,98.77334578821822,98.30515546314172,39.396472362617814,50.232619465245826,0.02122825608926323,0.3061566933315481,0.028362423535845296,62.611340999586254,0.11093806156320915,0.0056746780314490585,0.034497704760228835,60.07676097803483,67.83827513301625,61.863432186656794,70.66581781738667,0.49441659962318785,109.58353166530362,0.4944145329518213,109.58195667641726,0.49441659962318785,109.58353166530362
8,min,19370301.0,1.0,1937.0,1.0,1.0,-67.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,max,20220308.0,25.0,2022.0,12.0,31.0,406.0,283.0,2921.0,152.0,203.0,1.0,1.0,1.0,1.0,1.0,1.0,437.0,1.0,2359.0,360.0,1.0,1.0,6.0,907.0,155.0,1249.0,241.0,254.0,13.0,731.0,300.0,428.0,100.0,100.0,100.0,859.0,360.0,317.0,1.0,360.0,197.0,1.0,360.0,232.0,4343.0,132.0,2359.0,1.0,1.0,1.0,1.0,360.0,360.0,233.0,309.0,1.0,1.0,1.0,339.0,1.0,1.0,1.0,306.0,344.0,294.0,367.0,1.0,2921.0,1.0,2921.0,1.0,2921.0
10,n_zero,0.0,0.0,0.0,0.0,0.0,7.0,389.0,21490.0,31018.0,31028.0,30670.0,22829.0,20553.0,17821.0,26679.0,30989.0,17804.0,30951.0,12815.0,17813.0,30998.0,30973.0,31018.0,17683.0,31018.0,16721.0,31052.0,31052.0,31024.0,31024.0,18821.0,18538.0,20770.0,20931.0,24537.0,19612.0,27344.0,27344.0,29661.0,30902.0,30902.0,31009.0,23689.0,23689.0,31050.0,17112.0,20940.0,30622.0,31051.0,31051.0,31041.0,21405.0,21443.0,21405.0,21442.0,31040.0,27803.0,31029.0,27956.0,30667.0,31053.0,31017.0,28175.0,28174.0,27933.0,27931.0,17842.0,21488.0,17843.0,21489.0,17842.0,21488.0
11,n_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
